# fDOM,_water,_in_situ.FDOM_ppb_ave@01135100.20111001.csv generated at 2021-07-30 03:59:54 (UTC+00:00) by AQUARIUS Time-Series 20.4.195.0
# 
# Time-series identifier: fDOM, water, in situ.FDOM ppb ave@01135100
# Location: POPE BROOK TRIBUTARY (W-9), NR NORTH DANVILLE, VT
# UTC offset: (UTC-05:00)
# Value units: QSE
# Value parameter: fDOM, water, in situ
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Raw signal from 2011-10-01T05:00:00Z to 2012-10-01T05:00:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC-05:00),Value,Approval Level,Grade,Qualifiers
2011-10-01T05:00:00Z,2011-10-01 00:00:00,31.79914134,Working,50,
2011-10-01T05:15:00Z,2011-10-01 00:15:00,31.71707586,Working,50,
2011-10-01T05:30:00Z,2011-10-01 00:30:00,31.66769886,Working,50,
2011-10-01T05:45:00Z,2011-10-01 00:45:00,31.58409771,Working,50,
2011-10-01T06:00:00Z,2011-10-01 01:00:00,31.34724213,Working,50,
2011-10-01T06:15:00Z,2011-10-01 01:15:00,31.25789694,Working,50,
2011-10-01T06:30:00Z,2011-10-01 01:30:00,31.15510218,Working,50,
2011-10-01T06:45:00Z,2011-10-01 01:45:00,30.96354207,Working,50,
2011-10-01T07:00:00Z,2011-10-01 02:00:00,30.88829877,Working,50,
2011-10-01T07:15:00Z,2011-10-01 02:15:00,30.77653008,Working,50,
2011-10-01T07:30:00Z,2011-10-01 02:30:00,30.92933151,Working,50,
2011-10-01T07:45:00Z,2011-10-01 02:45:00,30.69262542,Working,50,
2011-10-01T08:00:00Z,2011-10-01 03:00:00,30.61600047,Working,50,
2011-10-01T08:15:00Z,2011-10-01 03:15:00,30.57992808,Working,50,
2011-10-01T08:30:00Z,2011-10-01 03:30:00,30.4392897,Working,50,
2011-10-01T08:45:00Z,2011-10-01 03:45:00,30.45425682,Working,50,
2011-10-01T09:00:00Z,2011-10-01 04:00:00,30.46430436,Working,50,
2011-10-01T09:15:00Z,2011-10-01 04:15:00,30.53039253,Working,50,
2011-10-01T09:30:00Z,2011-10-01 04:30:00,30.71665707,Working,50,
2011-10-01T09:45:00Z,2011-10-01 04:45:00,30.70760613,Working,50,
2011-10-01T10:00:00Z,2011-10-01 05:00:00,30.68365602,Working,50,
2011-10-01T10:15:00Z,2011-10-01 05:15:00,30.58890201,Working,50,
2011-10-01T10:30:00Z,2011-10-01 05:30:00,30.53103579,Working,50,
2011-10-01T10:45:00Z,2011-10-01 05:45:00,30.45702465,Working,50,
2011-10-01T11:00:00Z,2011-10-01 06:00:00,30.31365468,Working,50,
2011-10-01T11:15:00Z,2011-10-01 06:15:00,30.22679193,Working,50,
2011-10-01T11:30:00Z,2011-10-01 06:30:00,30.17527224,Working,50,
2011-10-01T11:45:00Z,2011-10-01 06:45:00,30.11472426,Working,50,
2011-10-01T12:00:00Z,2011-10-01 07:00:00,30.00407901,Working,50,
2011-10-01T12:15:00Z,2011-10-01 07:15:00,29.96650719,Working,50,
2011-10-01T12:30:00Z,2011-10-01 07:30:00,29.88564216,Working,50,
2011-10-01T12:45:00Z,2011-10-01 07:45:00,29.88027864,Working,50,
2011-10-01T13:00:00Z,2011-10-01 08:00:00,29.72671617,Working,50,
2011-10-01T13:15:00Z,2011-10-01 08:15:00,29.73923256,Working,50,
2011-10-01T13:30:00Z,2011-10-01 08:30:00,29.71600272,Working,50,
2011-10-01T13:45:00Z,2011-10-01 08:45:00,29.73558138,Working,50,
2011-10-01T14:00:00Z,2011-10-01 09:00:00,30.38338044,Working,50,
2011-10-01T14:15:00Z,2011-10-01 09:15:00,31.61453025,Working,50,
2011-10-01T14:30:00Z,2011-10-01 09:30:00,32.77021932,Working,50,
2011-10-01T14:45:00Z,2011-10-01 09:45:00,33.37774668,Working,50,
2011-10-01T15:00:00Z,2011-10-01 10:00:00,33.71966655,Working,50,
2011-10-01T15:15:00Z,2011-10-01 10:15:00,33.86325396,Working,50,
2011-10-01T15:30:00Z,2011-10-01 10:30:00,34.5446475,Working,50,
2011-10-01T15:45:00Z,2011-10-01 10:45:00,37.18641213,Working,50,
2011-10-01T16:00:00Z,2011-10-01 11:00:00,40.6550286,Working,50,
2011-10-01T16:15:00Z,2011-10-01 11:15:00,42.04848831,Working,50,
2011-10-01T16:30:00Z,2011-10-01 11:30:00,42.35284089,Working,50,
2011-10-01T16:45:00Z,2011-10-01 11:45:00,42.3589428,Working,50,
